Faction,Name,Flavor,Item Description,Rarity,Type,Unlocked at level,Health,DPS,Speed,Building,Cost,Strong vs,Targets
GDI,Riflemen,"The riflemen squad is GDI's standard infantry formation. Equipped with GD-2 automatic rifles and composite body armor, GDI Riflemen are an inexpensive and effective way of destroy enemy infantry units.",Provides vision up to 3 tiles away and reveals adjacent stealthed units.,common,infantry,1,,,fast,barracks,10,infantry,ground
GDI,Missile Squad,"The Missile Squad is GDI's primary anti-vehicle infantry unit. Equipped with FGM-90 shoulder-mounted missile launchers, they are effective against both vehicles and aircraft alike.",Reveals adjacent stealthed units.,rare,infantry,1,,,average,barracks,20,"vehicles,aircraft","ground,air"
GDI,Shockwave Troopers,"Shockwave Troopers are elite GDI ground troops armed with miniturized Disruptor technology. Although less powerful than the Disruptor, the Shockwave Troopers lower cost and ability to be deployed from the Barracks had made them a staple among GDI infantry forces.",Reveals adjacent stealthed units.,rare,infantry,1,,,average,barracks,40,"infantry,buildings",ground
GDI,Jump Jet Troopers,"Jump Jet Troopers are a squad of elite anti-vehicle infantry equipped with a mobility-enhancing J-70 Jetpack. Although their jetpack is not powerful enough for sustained flight, it does allow Jump Jet Troopers to vault over terrain obstacles and move quickly across the battlefield.",Can move over terrain and enemy units. Reveals adjacent stealthed units.,epic,infantry,14,,,fastest,barracks,50,vehicles,ground
GDI,Sniper Team,"The Sniper Team is an elite infantry unit useful for eliminating enemy infantry at long range. In addition to their high-caliber GLS-70 sniper rifle, the Sniper Team sports a distinctive Ghillie Cloak, the sight of which strikes fear into Nod infantry the world over.",Can attack up to 2 tiles away. Reveals adjacent stealthed units.,epic,infantry,54,750,150,fast,barracks,50,infantry,ground
GDI,Rhino,"The Rhino is GDI's primary all-terrain scout vehicle. Fast, lightly armored and armed with a M60 machine gun, the Rhino is useful in both anti-infantry and anti-aircraft operations.",Provides vision up to 3 tiles away.,common,vehicles,1,,,fast,war factory,30,"infantry,aircraft","ground,air"
GDI,Pitbull,"The CC-6 Pitbull is a light and fast reconnaissance vehicle used primarily for harassing enemy formations and defending against enemy aircraft. One of the least armored of GDI's ground units, the Pitbull requires quick maneuvering to stay out of trouble.",Can attack while moving.,rare,vehicles,1,,,fast,war factory,40,"vehicles,aircraft","ground,air"
GDI,Predator Tank,"The MBT-6 Predator is GDI's main battle tank. First fielded during the Third Tiberium War, the 65-ton Predator Tank forms the backbone of GDI armored forces. GDI armored warfare doctrine recommends leveraging the Predator's advanced targeting systems to engage targets while on the move and avoiding enemy aircraft whenever possible.",Can attack while moving.,common,vehicles,1,,,slow,war factory,60,vehicles,ground
GDI,M.L.R.S.,"One of the oldest designs in the GDI arsenal, the M270 Multiple Launch Rocket System is a long-range artillery system that delivers a barrage of unguided rockets to the enemy position. The MLRS requires some deployment time before firing; careful positioning is recommended.","Can attack up to 2 tiles away, but it must set up first. Rapidly fires 3 rockets, then must reload.",epic,vehicles,18,1500,2664,average,war factory,70,"vehicles,buildings",ground
GDI,War Dogs,"GDI War Dogs are an evolution of a quadrupedal chassis that was built for a 1/200th scale prototype of the Mammoth Mk. II walker. Although that chassis design was unworkable at Mammoth scale, GDI scientists found it to be an excellent platform on which to build a light autonomous scout vehicle.",Has four vehicles per squad instead of the usual one.,common,vehicles,22,1600,23.5,fastest,war factory,10,infantry,ground
